TICKER,NAME,SECTOR,average Volume (10 Day),market cap,BETA,
ITT,ITT Inc,Manufacturing/Construction,"1,000,170",$16B (Mid),1.37,NYS
LRN,Stride Inc,Education,"1,000,630",$3B (Small),0.1,NYS
GTN,Gray Media Inc,Entertainment,"1,000,860",$410M (Micro),0.9,NYS
RJF,Raymond James Financial Inc,Finance,"1,001,160",$33B (Mid),1.02,NYS
ALNY,Alnylam Pharmaceuticals Inc,Healthcare,"1,001,810",$53B (Large),0.35,NASDAQ
HOPE,Hope Bancorp Inc,Finance,"1,001,830",$1B (Micro),0.85,NASDAQ
FFIV,F5 Inc,Technology,"1,003,130",$16B (Mid),1,NASDAQ
MSI,Motorola Solutions Inc,Technology,"1,005,620",$64B (Large),1,NYS
ZIP,Ziprecruiter Inc,Technology,"1,007,400",$273M (Micro),1.1,NYS
HXL,Hexcel Corp,Manufacturing/Construction,"1,007,860",$6B (Small),1.06,NYS
LOGI,Logitech International SA,Technology,"1,009,010",$14B (Mid),1.11,NASDAQ
KOD,Kodiak Sciences Inc,Healthcare,"1,015,150",$2B (Micro),2.64,NASDAQ
PCVX,Vaxcyte Inc,Healthcare,"1,015,810",$6B (Small),1.32,NASDAQ
SXC,SunCoke Energy Inc,Gold/Precious Metals/Materials,"1,016,200",$674M (Micro),0.97,NYS
ANGO,AngioDynamics Inc,Healthcare,"1,017,770",$406M (Micro),0.5,NASDAQ
PSA,Public Storage,Real Estate,"1,018,050",$49B (Large),1.03,NYS
AEHR,Aehr Test Systems,Technology,"1,020,100",$790M (Micro),2.33,NASDAQ
OC,Owens Corning,Manufacturing/Construction,"1,021,050",$10B (Mid),1.35,NYS
TRGP,Targa Resources Corp,Energy/Utilities,"1,022,450",$38B (Mid),0.87,NYS
VIRT,Virtu Financial Inc,Finance,"1,023,170",$5B (Small),0.6,NYS
FUTU,Futu Holdings Ltd,Finance,"1,024,370",$17B (Mid),0.43,NASDAQ
FVRR,Fiverr International Ltd,Technology,"1,026,520",$670M (Micro),1.31,NYS
AISP,Airship AI Holdings Inc,Technology,"1,026,640",$106M (Micro),0.34,NASDAQ
WSM,Williams-Sonoma Inc,Manufacturing/Construction,"1,027,720",$24B (Mid),1.64,NYS
FBP,First BanCorp,Finance,"1,027,890",$3B (Small),0.87,NYS
PRCT,Procept Biorobotics Corp,Healthcare,"1,028,380",$2B (Micro),0.99,NASDAQ
AXSM,Axsome Therapeutics Inc,Healthcare,"1,028,460",$9B (Mid),0.39,NASDAQ
CBRE,CBRE Group Inc,Real Estate,"1,030,520",$49B (Large),1.34,NYS
OUT,OUTFRONT Media Inc,Real Estate,"1,031,680",$4B (Small),1.55,NYS
MCW,Mister Car Wash Inc,Auto/Travel/Shipping,"1,032,180",$2B (Micro),1.47,NASDAQ
PNW,Pinnacle West Capital Corp,Energy/Utilities,"1,034,310",$11B (Mid),0.53,NYS
LTBR,Lightbridge Corp,Energy/Utilities,"1,034,680",$534M (Micro),1.97,NASDAQ
XPO,XPO Inc,Industrials,"1,037,280",$17B (Mid),2.06,NYS
PLTK,Playtika Holding Corp,Entertainment,"1,037,380",$1B (Micro),0.83,NASDAQ
TEX,Terex Corp,Manufacturing/Construction,"1,037,780",$4B (Small),1.68,NYS
SSL,Sasol Ltd,Energy/Utilities,"1,038,420",$4B (Small),0.44,NYS
PLRX,Pliant Therapeutics Inc,Healthcare,"1,041,870",$81M (Micro),1.4,NASDAQ
TGEN,Tecogen Inc,Manufacturing/Construction,"1,044,950",$142M (Micro),1.32,NYS
CDXS,Codexis Inc,Healthcare,"1,045,770",$148M (Micro),2.47,NASDAQ
GWRE,Guidewire Software Inc,Technology,"1,046,210",$16B (Mid),1.06,NYS
FINV,FinVolution Group,Finance,"1,046,840",$1B (Micro),0.44,NYS
SMTC,Semtech Corp,Technology,"1,048,420",$7B (Small),2.02,NASDAQ
QRVO,Qorvo Inc,Technology,"1,048,800",$8B (Small),1.37,NASDAQ
MAA,Mid-America Apartment Communities Inc,Real Estate,"1,049,370",$16B (Mid),0.78,NYS
WIX,Wix.Com Ltd,Technology,"1,049,480",$5B (Small),1.42,NASDAQ
VNO,Vornado Realty Trust,Real Estate,"1,050,250",$7B (Small),1.53,NYS
CRDF,Cardiff Oncology Inc,Healthcare,"1,050,930",$207M (Micro),1.34,NASDAQ
LCTX,Lineage Cell Therapeutics Inc,Healthcare,"1,051,000",$394M (Micro),1.81,NYS
TKC,Turkcell Iletisim Hizmetleri AS,Communication Services,"1,052,460",$5B (Small),0.92,NYS
TDC,Teradata Corp,Technology,"1,052,630",$3B (Small),0.61,NYS
HTGC,Hercules Capital Inc,Finance,"1,052,650",$3B (Small),0.79,NYS
AUPH,Aurinia Pharmaceuticals Inc,Healthcare,"1,053,120",$2B (Micro),1.51,NASDAQ
CLNE,Clean Energy Fuels Corp,Energy/Utilities,"1,056,000",$467M (Micro),2.21,NASDAQ
ESTC,Elastic NV,Technology,"1,056,510",$8B (Mid),0.94,NYS
NOC,NORTHROP GRUMMAN CORP,Govt/Defense/Space,"1,057,630",$88B (Large),0.04,NYS
TAC,TransAlta Corp,Energy/Utilities,"1,058,870",$4B (Small),0.77,NYS
ABEO,Abeona Therapeutics Inc,Healthcare,"1,059,060",$281M (Micro),1.17,NASDAQ
NN,NextNav Inc,Technology,"1,059,240",$2B (Micro),0.98,NASDAQ
ARLO,Arlo Technologies Inc,Communication Services,"1,059,490",$1B (Micro),1.66,NYS
RBA,RB Global Inc,Auto/Travel/Shipping,"1,059,750",$20B (Mid),0.54,NYS
REG,Regency Centers Corp,Real Estate,"1,060,870",$13B (Mid),0.96,NASDAQ
ORGO,Organogenesis Holdings Inc,Healthcare,"1,061,450",$534M (Micro),1.45,NASDAQ
STLD,Steel Dynamics Inc,Gold/Precious Metals/Materials,"1,064,270",$25B (Mid),1.47,NASDAQ
CHGG,Chegg Inc,Education,"1,064,430",$103M (Micro),1.99,NYS
ECL,Ecolab Inc,Gold/Precious Metals/Materials,"1,064,540",$77B (Large),0.99,NYS
CATX,Perspective Therapeutics Inc,Healthcare,"1,065,120",$211M (Micro),1.75,NYS
ZYME,Zymeworks Inc,Healthcare,"1,065,190",$2B (Micro),1.24,NASDAQ
ARCO,Arcos Dorados Holdings Inc,Food/Beverages/Shopping,"1,065,520",$2B (Micro),0.47,NYS
CRSR,Corsair Gaming Inc,Technology,"1,068,020",$615M (Micro),1.54,NASDAQ
ALEC,Alector Inc,Healthcare,"1,068,160",$203M (Micro),0.65,NASDAQ
RPTX,Repare Therapeutics Inc,Healthcare,"1,069,100",$109M (Micro),0.99,NASDAQ
YOU,Clear Secure Inc,Technology,"1,071,110",$5B (Small),1.22,NYS
SLG,SL Green Realty Corp,Real Estate,"1,071,580",$4B (Small),1.63,NYS
MBOT,Microbot Medical Inc,Healthcare,"1,071,630",$140M (Micro),1.29,NASDAQ
OZK,Bank Ozk,Finance,"1,072,950",$5B (Small),0.94,NASDAQ
DC,Dakota Gold Corp,Gold/Precious Metals/Materials,"1,073,190",$651M (Micro),1.08,NYS
CCOI,Cogent Communications Holdings Inc,Communication Services,"1,074,310",$1B (Micro),0.79,NASDAQ
DTE,DTE Energy Co,Energy/Utilities,"1,074,310",$27B (Mid),0.5,NYS
LEU,Centrus Energy Corp,Energy/Utilities,"1,075,310",$6B (Small),1.23,NYS
EVEX,Eve Holding Inc,Govt/Defense/Space,"1,077,640",$2B (Micro),0.84,NYS
SPG,Simon Property Group Inc,Real Estate,"1,077,980",$60B (Large),1.42,NYS
EYE,National Vision Holdings Inc,Food/Beverages/Shopping,"1,078,050",$2B (Micro),1.39,NASDAQ
GXO,GXO Logistics Inc,Auto/Travel/Shipping,"1,079,850",$7B (Small),1.72,NYS
SKT,Tanger Inc,Real Estate,"1,081,060",$4B (Small),1.16,NYS
HOMB,Home BancShares Inc,Finance,"1,081,510",$6B (Small),0.79,NYS
JELD,JELD-WEN Holding Inc,Manufacturing/Construction,"1,081,950",$235M (Micro),1.75,NYS
EXPI,eXp World Holdings Inc,Real Estate,"1,082,060",$2B (Micro),2.12,NASDAQ
AMBA,Ambarella Inc,Technology,"1,083,880",$3B (Small),1.96,NASDAQ
RDY,Dr Reddy's Laboratories Ltd,Healthcare,"1,084,020",$11B (Mid),0.34,NYS
FERG,Ferguson Enterprises Inc,Auto/Travel/Shipping,"1,085,440",$47B (Large),1.14,NYS
NBP,NovaBridge Biosciences,Healthcare,"1,086,310",$427M (Micro),1.63,NASDAQ
SA,Seabridge Gold Inc,Gold/Precious Metals/Materials,"1,088,500",$3B (Small),0.81,NYS
DK,Delek US Holdings Inc,Energy/Utilities,"1,089,370",$2B (Micro),0.83,NYS
ADNT,Adient PLC,Auto/Travel/Shipping,"1,089,770",$2B (Micro),1.61,NYS
IQV,IQVIA Holdings Inc,Healthcare,"1,090,970",$41B (Mid),1.37,NYS
GHRS,GH Research PLC,Healthcare,"1,091,590",$931M (Micro),1,NASDAQ
VERA,Vera Therapeutics Inc,Healthcare,"1,092,740",$3B (Small),1.15,NASDAQ
MNDY,monday.com Ltd,Technology,"1,092,870",$8B (Mid),1.25,NASDAQ
PROK,Prokidney Corp,Healthcare,"1,095,050",$704M (Micro),1.82,NASDAQ
VOR,Vor Biopharma Inc,Healthcare,"1,097,060",$484M (Micro),2.02,NASDAQ
ARI,Apollo Commercial Real Estate Finance Inc,Real Estate,"1,098,340",$1B (Micro),1.59,NYS
CPRX,Catalyst Pharmaceuticals Inc,Healthcare,"1,098,770",$3B (Small),0.73,NASDAQ
TTWO,Take-Two Interactive Software Inc,Entertainment,"1,100,220",$46B (Large),0.92,NASDAQ
G,Genpact Ltd,Technology,"1,102,100",$8B (Mid),0.74,NYS
SUIG,SUI Group Holdings Ltd,Finance,"1,102,780",$157M (Micro),1.31,NASDAQ
TDS,Telephone and Data Systems Inc,Communication Services,"1,107,280",$5B (Small),0.33,NYS
BWIN,Baldwin Insurance Group Inc,Finance,"1,107,290",$4B (Small),1.34,NASDAQ
RNW,Renew Energy Global PLC,Energy/Utilities,"1,107,960",$2B (Micro),0.91,NASDAQ
AGIO,Agios Pharmaceuticals Inc,Healthcare,"1,108,750",$2B (Micro),0.91,NASDAQ
MTN,Vail Resorts Inc,Auto/Travel/Shipping,"1,111,750",$5B (Small),0.81,NYS
SGI,Somnigroup International Inc,Healthcare,"1,112,050",$20B (Mid),1.31,NYS
TIGO,Millicom International Cellular SA,Communication Services,"1,117,240",$8B (Mid),0.92,NASDAQ
SQM,Sociedad Quimica y Minera de Chile SA,Gold/Precious Metals/Materials,"1,117,910",$11B (Mid),1.03,NYS
INSP,Inspire Medical Systems Inc,Healthcare,"1,118,300",$3B (Small),0.75,NYS
ALKT,Alkami Technology Inc,Technology,"1,119,940",$2B (Small),0.53,NASDAQ
CDLX,Cardlytics Inc,Technology,"1,120,020",$73M (Micro),1.06,NASDAQ
HIG,Hartford Insurance Group Inc,Finance,"1,120,160",$38B (Mid),0.61,NYS
AAON,Aaon Inc,Manufacturing/Construction,"1,121,040",$7B (Small),1.11,NASDAQ
NBIX,Neurocrine Biosciences Inc,Healthcare,"1,121,330",$14B (Mid),0.31,NASDAQ
XENE,Xenon Pharmaceuticals Inc,Healthcare,"1,121,980",$3B (Small),0.96,NASDAQ
INOD,Innodata Inc,Technology,"1,122,330",$2B (Micro),2.43,NASDAQ
NVCR,Novocure Ltd,Healthcare,"1,124,390",$2B (Micro),0.73,NASDAQ
IHS,IHS Holding Ltd,Entertainment,"1,125,370",$3B (Small),0.86,NYS
GDDY,GoDaddy Inc,Technology,"1,127,670",$15B (Mid),0.93,NYS
RVLV,Revolve Group Inc,Food/Beverages/Shopping,"1,127,770",$2B (Small),1.8,NYS
AOS,A O Smith Corp,Manufacturing/Construction,"1,129,180",$10B (Mid),1.35,NYS
NPWR,NET Power Inc,Energy/Utilities,"1,130,780",$618M (Micro),0.84,NYS
MGA,Magna International Inc,Auto/Travel/Shipping,"1,133,570",$16B (Mid),1.48,NYS
ATI,ATI Inc,Gold/Precious Metals/Materials,"1,135,320",$17B (Mid),1.02,NYS
CYH,Community Health Systems Inc,Healthcare,"1,136,060",$460M (Micro),2.11,NYS
FLYW,Flywire Corp,Technology,"1,136,130",$2B (Micro),1.29,NASDAQ
PLAB,Photronics Inc,Technology,"1,145,070",$2B (Micro),1.52,NASDAQ
TNDM,Tandem Diabetes Care Inc,Healthcare,"1,146,330",$1B (Micro),1.69,NASDAQ
VSH,Vishay Intertechnology Inc,Technology,"1,147,150",$2B (Small),1.15,NYS
WPC,WP Carey Inc,Real Estate,"1,147,650",$15B (Mid),0.81,NYS
HRB,H & R Block Inc,Finance,"1,148,840",$6B (Small),0.36,NYS
VFF,Village Farms International Inc,Food/Beverages/Shopping,"1,150,750",$396M (Micro),1.3,NASDAQ
GRND,Grindr Inc,Entertainment,"1,151,160",$2B (Small),0.23,NYS
IMAX,Imax Corp,Entertainment,"1,152,390",$2B (Micro),0.37,NYS
SUPV,Grupo Supervielle SA,Finance,"1,152,850",$1B (Micro),1.72,NYS
CCCC,C4 Therapeutics Inc,Healthcare,"1,154,140",$207M (Micro),2.98,NASDAQ
NVRI,Enviri Corp,Food/Beverages/Shopping,"1,155,590",$1B (Micro),1.77,NYS
TSSI,TSS Inc,Technology,"1,155,980",$246M (Micro),2.08,NASDAQ
DBI,Designer Brands Inc,Food/Beverages/Shopping,"1,155,990",$406M (Micro),1.09,NYS
GANX,Gain Therapeutics Inc,Healthcare,"1,156,460",$89M (Micro),0.05,NASDAQ
NSP,Insperity Inc,Education,"1,158,650",$2B (Micro),0.48,NYS
VRSK,Verisk Analytics Inc,Communication Services,"1,161,340",$31B (Mid),0.79,NASDAQ
ACAD,ACADIA Pharmaceuticals Inc,Healthcare,"1,161,800",$5B (Small),0.66,NASDAQ
WYNN,Wynn Resorts Ltd,Auto/Travel/Shipping,"1,165,960",$12B (Mid),1.06,NASDAQ
NNOX,Nano-X Imaging Ltd,Healthcare,"1,166,170",$206M (Micro),1.31,NASDAQ
AVDL,Avadel Pharmaceuticals PLC,Healthcare,"1,166,890",$2B (Micro),1.31,NASDAQ
ELV,Elevance Health Inc,Healthcare,"1,167,200",$83B (Large),0.51,NYS
SAP,SAP SE,Technology,"1,169,070",$288B (Large),1.17,NYS
UGP,Ultrapar Participacoes SA,Energy/Utilities,"1,169,210",$4B (Small),0.85,NYS
OXSQ,Oxford Square Capital Corp,Finance,"1,169,310",$145M (Micro),0.53,NASDAQ
PRKS,United Parks & Resorts Inc,Entertainment,"1,171,570",$2B (Micro),1.27,NYS
HIW,Highwoods Properties Inc,Real Estate,"1,172,630",$3B (Small),1.09,NYS
AROC,Archrock Inc,Energy/Utilities,"1,173,200",$5B (Small),0.92,NYS
ZION,Zions Bancorporation NA,Finance,"1,173,530",$9B (Mid),0.84,NASDAQ
PMT,PennyMac Mortgage Investment Trust,Finance,"1,174,650",$1B (Micro),1.26,NYS
TWST,Twist Bioscience Corp,Healthcare,"1,174,810",$2B (Small),2.24,NASDAQ
WHR,Whirlpool Corp,Consumer Products,"1,175,870",$5B (Small),1.23,NYS
OLLI,Ollie's Bargain Outlet Holdings Inc,Food/Beverages/Shopping,"1,176,990",$7B (Small),0.52,NASDAQ
VRTX,Vertex Pharmaceuticals Inc,Healthcare,"1,176,990",$118B (Large),0.31,NASDAQ
VITL,Vital Farms Inc,Food/Beverages/Shopping,"1,177,870",$1B (Micro),1.1,NASDAQ
PLYM,Plymouth Industrial REIT Inc,Real Estate,"1,177,970",$977M (Micro),1.25,NYS
SITC,Site Centers Corp,Real Estate,"1,178,950",$333M (Micro),1.08,NYS
CSTM,Constellium SE,Gold/Precious Metals/Materials,"1,179,000",$3B (Small),1.51,NYS
REPL,Replimune Group Inc,Healthcare,"1,179,890",$630M (Micro),0.73,NASDAQ
PSN,Parsons Corp,Govt/Defense/Space,"1,180,530",$7B (Small),0.67,NYS
MUX,McEwen Inc,Gold/Precious Metals/Materials,"1,182,220",$1B (Micro),1.13,NYS
EXR,Extra Space Storage Inc,Real Estate,"1,182,430",$30B (Mid),1.28,NYS
EWTX,Edgewise Therapeutics Inc,Healthcare,"1,182,990",$3B (Small),0.27,NASDAQ
JAZZ,Jazz Pharmaceuticals PLC,Healthcare,"1,184,730",$10B (Mid),0.26,NASDAQ
HMC,Honda Motor Co Ltd,Auto/Travel/Shipping,"1,184,780",$40B (Mid),0.39,NYS
FIVE,Five Below Inc,Consumer Products,"1,184,890",$11B (Mid),1.14,NASDAQ
STAG,STAG Industrial Inc,Real Estate,"1,186,880",$7B (Small),1.06,NYS
SONO,Sonos Inc,Consumer Products,"1,187,090",$2B (Micro),2.05,NASDAQ
RH,RH,Food/Beverages/Shopping,"1,189,640",$4B (Small),2.13,NYS
PARR,Par Pacific Holdings Inc,Energy/Utilities,"1,189,650",$2B (Micro),1.23,NYS
PGNY,Progyny Inc,Healthcare,"1,192,220",$2B (Small),0.96,NASDAQ
DLO,Dlocal Ltd,Finance,"1,193,790",$4B (Small),1.13,NASDAQ
CRI,Carter's Inc,Food/Beverages/Shopping,"1,197,700",$1B (Micro),1.06,NYS
WLK,Westlake Corp,Gold/Precious Metals/Materials,"1,198,130",$11B (Mid),0.91,NYS
PFLT,PennantPark Floating Rate Capital Ltd,Finance,"1,199,140",$951M (Micro),0.76,NYS
RSG,Republic Services Inc,Food/Beverages/Shopping,"1,202,380",$66B (Large),0.55,NYS
HYLN,Hyliion Holdings Corp,Auto/Travel/Shipping,"1,202,550",$341M (Micro),2.58,NYS
UTZ,UTZ Brands Inc,Food/Beverages/Shopping,"1,204,440",$1B (Micro),0.93,NYS
DE,Deere & Co,Manufacturing/Construction,"1,205,050",$132B (Large),1.03,NYS
ESRT,Empire State Realty Trust Inc,Real Estate,"1,209,240",$1B (Micro),1.37,NYS
ADSK,Autodesk Inc,Technology,"1,210,660",$59B (Large),1.45,NASDAQ
FNF,Fidelity National Financial Inc,Finance,"1,211,390",$15B (Mid),1.01,NYS
MT,ArcelorMittal SA,Gold/Precious Metals/Materials,"1,212,140",$36B (Mid),1.5,NYS
JSPR,Jasper Therapeutics Inc,Healthcare,"1,214,940",$42M (Micro),3.08,NASDAQ
TW,Tradeweb Markets Inc,Finance,"1,215,640",$22B (Mid),0.83,NASDAQ
SFL,SFL Corporation Ltd,Auto/Travel/Shipping,"1,220,800",$1B (Micro),0.5,NYS
RYAN,Ryan Specialty Holdings Inc,Finance,"1,220,830",$13B (Mid),0.62,NYS
ALL,Allstate Corp,Finance,"1,224,310",$56B (Large),0.23,NYS
EXPE,Expedia Group Inc,Auto/Travel/Shipping,"1,225,470",$36B (Mid),1.42,NASDAQ
TDAY,USA TODAY Co Inc,Entertainment,"1,226,190",$859M (Micro),1.59,NYS
SPGI,S&P Global Inc,Finance,"1,228,120",$164B (Large),1.2,NYS
KULR,KULR Technology Group Inc,Energy/Utilities,"1,228,470",$153M (Micro),2.04,NYS
MRVI,Maravai LifeSciences Holdings Inc,Healthcare,"1,228,730",$1B (Micro),0.4,NASDAQ
AWK,American Water Works Co Inc,Energy/Utilities,"1,229,220",$25B (Mid),0.76,NYS
TV,Grupo Televisa SAB,Entertainment,"1,231,390",$2B (Micro),1.97,NYS
CWK,Cushman & Wakefield Ltd,Real Estate,"1,231,420",$4B (Small),1.47,NYS
CIVI,Civitas Resources Inc,Energy/Utilities,"1,234,130",$2B (Small),0.93,NYS
ECVT,Ecovyst Inc,Gold/Precious Metals/Materials,"1,234,660",$1B (Micro),1.2,NYS
CAKE,Cheesecake Factory Inc,Food/Beverages/Shopping,"1,239,550",$3B (Small),1.01,NASDAQ
MAR,Marriott International Inc,Real Estate,"1,244,670",$88B (Large),1.14,NASDAQ
EFX,Equifax Inc,Finance,"1,246,070",$28B (Mid),1.55,NYS
FHB,First Hawaiian Inc,Finance,"1,246,420",$3B (Small),0.72,NASDAQ
TEL,TE Connectivity PLC,Technology,"1,247,760",$68B (Large),1.24,NYS
CROX,Crocs Inc,Consumer Products,"1,250,940",$4B (Small),1.56,NASDAQ
EOLS,Evolus Inc,Healthcare,"1,253,250",$366M (Micro),1.11,NASDAQ
ARHS,Arhaus Inc,Food/Beverages/Shopping,"1,255,530",$2B (Micro),2.51,NASDAQ
ABUS,Arbutus Biopharma Corp,Healthcare,"1,257,680",$889M (Micro),0.71,NASDAQ
CMC,Commercial Metals Co,Gold/Precious Metals/Materials,"1,258,970",$8B (Mid),1.49,NYS
CXM,Sprinklr Inc,Technology,"1,259,720",$2B (Micro),0.77,NYS
ALTO,Alto Ingredients Inc,Gold/Precious Metals/Materials,"1,261,350",$185M (Micro),0.58,NASDAQ
SNDX,Syndax Pharmaceuticals Inc,Healthcare,"1,262,070",$2B (Micro),0.46,NASDAQ
MAPS,WM Technology Inc,Technology,"1,263,350",$136M (Micro),1.23,NASDAQ
