TICKER,NAME,SECTOR,average Volume (10 Day),,market cap,BETA
DLR,Digital Realty Trust Inc,Real Estate,"1,828,130",NYS,$54B (Large),1.14
INDV,Indivior PLC,Healthcare,"1,741,990",NASDAQ,$4B (Small),1.14
AL,Air Lease Corp,Industrials,"1,280,470",NYS,$7B (Small),1.14
MAR,Marriott International Inc,Consumer Discretionary,"1,244,670",NASDAQ,$88B (Large),1.14
FIVE,Five Below Inc,Consumer Discretionary,"1,184,890",NASDAQ,$11B (Mid),1.14
FERG,Ferguson Enterprises Inc,Industrials,"1,085,440",NYS,$47B (Large),1.14
LUV,Southwest Airlines Co,Industrials,"7,594,950",NYS,$23B (Mid),1.15
BA,Boeing Co,Industrials,"7,100,570",NYS,$184B (Large),1.15
DECK,Deckers Outdoor Corp,Consumer Discretionary,"2,548,950",NYS,$15B (Mid),1.15
BLMN,Bloomin' Brands Inc,Consumer Discretionary,"2,314,740",NASDAQ,$598M (Micro),1.15
SEI,Solaris Energy Infrastructure Inc,Energy,"2,098,960",NYS,$4B (Small),1.15
AXP,American Express Co,Financials,"2,027,780",NYS,$259B (Large),1.15
SLM,SLM Corp,Financials,"1,727,700",NASDAQ,$6B (Small),1.15
AKR,Acadia Realty Trust,Real Estate,"1,625,520",NYS,$3B (Small),1.15
CVI,CVR Energy Inc,Energy,"1,514,790",NYS,$2B (Small),1.15
FLUT,Flutter Entertainment PLC,Consumer Discretionary,"1,498,850",NYS,$38B (Mid),1.15
VSH,Vishay Intertechnology Inc,Technology,"1,147,150",NYS,$2B (Small),1.15
VERA,Vera Therapeutics Inc,Healthcare,"1,092,740",NASDAQ,$3B (Small),1.15
C,Citigroup Inc,Financials,"11,158,570",NYS,$217B (Large),1.16
XPEV,Xpeng Inc,Consumer Discretionary,"8,316,380",NYS,$19B (Mid),1.16
STWD,Starwood Property Trust Inc,Real Estate,"4,148,580",NYS,$7B (Small),1.16
PLG,Platinum Group Metals Ltd,Materials,"3,837,210",NYS,$305M (Micro),1.16
ABNB,Airbnb Inc,Consumer Discretionary,"3,221,290",NASDAQ,$84B (Large),1.16
DAY,Dayforce Inc,Technology,"2,878,440",NYS,$11B (Mid),1.16
KNX,Knight-Swift Transportation Holdings Inc,Industrials,"2,780,220",NYS,$9B (Mid),1.16
ALHC,Alignment Healthcare Inc,Healthcare,"2,563,860",NASDAQ,$4B (Small),1.16
DEI,Douglas Emmett Inc,Real Estate,"1,945,790",NYS,$2B (Micro),1.16
SBH,Sally Beauty Holdings Inc,Consumer Discretionary,"1,762,200",NYS,$2B (Micro),1.16
PPG,PPG Industries Inc,Materials,"1,570,560",NYS,$24B (Mid),1.16
ST,Sensata Technologies Holding PLC,Industrials,"1,386,570",NYS,$5B (Small),1.16
ITW,Illinois Tool Works Inc,Industrials,"1,314,590",NYS,$74B (Large),1.16
SKT,Tanger Inc,Real Estate,"1,081,060",NYS,$4B (Small),1.16
LCID,Lucid Group Inc,Consumer Discretionary,"7,424,190",NASDAQ,$4B (Small),1.17
INTR,Inter & Co Inc,Financials,"1,800,710",NASDAQ,$4B (Small),1.17
SAP,SAP SE,Technology,"1,169,070",NYS,$288B (Large),1.17
ABEO,Abeona Therapeutics Inc,Healthcare,"1,059,060",NASDAQ,$281M (Micro),1.17
HST,Host Hotels & Resorts Inc,Real Estate,"5,955,130",NASDAQ,$13B (Mid),1.18
GT,Goodyear Tire & Rubber Co,Consumer Discretionary,"5,836,500",NASDAQ,$3B (Small),1.18
NXDR,Nextdoor Holdings Inc,Communication Services,"4,457,240",NYS,$776M (Micro),1.18
TROX,Tronox Holdings PLC,Materials,"3,617,380",NYS,$893M (Micro),1.18
ANNX,Annexon Inc,Healthcare,"2,522,520",NASDAQ,$759M (Micro),1.18
AAP,Advance Auto Parts Inc,Consumer Discretionary,"2,210,070",NYS,$3B (Small),1.18
LYV,Live Nation Entertainment Inc,Communication Services,"1,953,900",NYS,$34B (Mid),1.18
IRM,Iron Mountain Inc,Real Estate,"1,810,380",NYS,$26B (Mid),1.18
ANF,Abercrombie & Fitch Co,Consumer Discretionary,"1,521,020",NYS,$6B (Small),1.18
CRH,CRH PLC,Materials,"4,913,820",NYS,$88B (Large),1.19
AREC,American Resources Corp,Energy,"4,277,480",NASDAQ,$342M (Micro),1.19
ETN,Eaton Corporation PLC,Industrials,"2,595,780",NYS,$126B (Large),1.19
BRKR,Bruker Corp,Healthcare,"1,965,930",NASDAQ,$8B (Mid),1.19
CPNG,Coupang Inc,Consumer Discretionary,"16,581,420",NYS,$42B (Large),1.2
APH,Amphenol Corp,Technology,"6,457,110",NYS,$172B (Large),1.2
CRGY,Crescent Energy Co,Energy,"6,111,810",NYS,$3B (Small),1.2
MS,Morgan Stanley,Financials,"3,749,530",NYS,$296B (Large),1.2
VVV,Valvoline Inc,Consumer Discretionary,"1,883,910",NYS,$4B (Small),1.2
CUZ,Cousins Properties Inc,Real Estate,"1,270,270",NYS,$4B (Small),1.2
ECVT,Ecovyst Inc,Materials,"1,234,660",NYS,$1B (Micro),1.2
SPGI,S&P Global Inc,Financials,"1,228,120",NYS,$164B (Large),1.2
UBER,Uber Technologies Inc,Technology,"15,805,810",NYS,$178B (Large),1.21
ERAS,Erasca Inc,Healthcare,"8,873,930",NASDAQ,$2B (Micro),1.21
ALK,Alaska Air Group Inc,Industrials,"2,537,810",NYS,$6B (Small),1.21
BSY,Bentley Systems Inc,Technology,"2,024,800",NASDAQ,$12B (Mid),1.21
AVXL,Anavex Life Sciences Corp,Healthcare,"1,996,950",NASDAQ,$382M (Micro),1.21
TT,Trane Technologies PLC,Industrials,"1,576,050",NYS,$85B (Large),1.21
SWK,Stanley Black & Decker Inc,Industrials,"1,573,490",NYS,$13B (Mid),1.21
TALK,Talkspace Inc,Healthcare,"1,277,610",NASDAQ,$666M (Micro),1.21
AVGO,Broadcom Inc,Technology,"21,974,180",NASDAQ,$2T (Large),1.22
CDE,Coeur Mining Inc,Materials,"19,906,740",NYS,$13B (Mid),1.22
HPQ,HP Inc,Technology,"15,706,080",NYS,$20B (Mid),1.22
RITM,Rithm Capital Corp,Financials,"8,383,380",NYS,$6B (Small),1.22
QCOM,Qualcomm Inc,Technology,"6,894,020",NASDAQ,$190B (Large),1.22
MLTX,MoonLake Immunotherapeutics,Healthcare,"5,101,660",NASDAQ,$1B (Micro),1.22
XP,XP Inc,Financials,"4,344,310",NASDAQ,$9B (Mid),1.22
ARWR,Arrowhead Pharmaceuticals Inc,Healthcare,"3,259,840",NASDAQ,$9B (Mid),1.22
NSA,National Storage Affiliates Trust,Real Estate,"1,471,960",NYS,$2B (Small),1.22
PNR,Pentair PLC,Industrials,"1,428,870",NYS,$17B (Mid),1.22
YOU,Clear Secure Inc,Technology,"1,071,110",NYS,$5B (Small),1.22
UEC,Uranium Energy Corp,Energy,"8,530,180",NYS,$7B (Small),1.23
ROIV,Roivant Sciences Ltd,Healthcare,"5,850,690",NASDAQ,$15B (Mid),1.23
TWO,Two Harbors Investment Corp,Financials,"3,709,060",NYS,$1B (Micro),1.23
LZ,LegalZoom.com Inc,Industrials,"1,443,440",NASDAQ,$2B (Micro),1.23
MAPS,WM Technology Inc,Technology,"1,263,350",NASDAQ,$136M (Micro),1.23
PARR,Par Pacific Holdings Inc,Energy,"1,189,650",NYS,$2B (Micro),1.23
WHR,Whirlpool Corp,Consumer Discretionary,"1,175,870",NYS,$5B (Small),1.23
LEU,Centrus Energy Corp,Energy,"1,075,310",NYS,$6B (Small),1.23
EXK,Endeavour Silver Corp,Materials,"15,824,890",NYS,$3B (Small),1.24
EQX,Equinox Gold Corp,Materials,"7,512,780",NYS,$11B (Mid),1.24
LAR,Lithium Argentina AG,Materials,"3,579,010",NYS,$1B (Micro),1.24
IBKR,Interactive Brokers Group Inc,Financials,"3,562,110",NASDAQ,$120B (Large),1.24
ACN,Accenture PLC,Technology,"3,315,130",NYS,$173B (Large),1.24
FLEX,Flex Ltd,Technology,"2,660,660",NASDAQ,$23B (Mid),1.24
REXR,Rexford Industrial Realty Inc,Real Estate,"2,247,930",NYS,$9B (Mid),1.24
WMG,Warner Music Group Corp,Communication Services,"1,770,400",NASDAQ,$16B (Mid),1.24
EVTL,Vertical Aerospace Ltd,Industrials,"1,675,550",NYS,$650M (Micro),1.24
INTU,Intuit Inc,Technology,"1,540,880",NASDAQ,$180B (Large),1.24
DKS,DICK'S Sporting Goods Inc,Consumer Discretionary,"1,493,400",NYS,$19B (Mid),1.24
TEL,TE Connectivity PLC,Technology,"1,247,760",NYS,$68B (Large),1.24
ZYME,Zymeworks Inc,Healthcare,"1,065,190",NASDAQ,$2B (Micro),1.24
TGB,Taseko Mines Ltd,Materials,"6,847,710",NYS,$2B (Small),1.25
PSKY,Paramount Skydance Corp,Communication Services,"6,357,120",NASDAQ,$13B (Mid),1.25
BLND,Blend Labs Inc,Technology,"1,976,820",NYS,$855M (Micro),1.25
TTI,Tetra Technologies Inc,Energy,"1,831,460",NYS,$1B (Micro),1.25
URBN,Urban Outfitters Inc,Consumer Discretionary,"1,694,560",NASDAQ,$7B (Small),1.25
AVAV,AeroVironment Inc,Industrials,"1,492,600",NASDAQ,$18B (Mid),1.25
EMN,Eastman Chemical Co,Materials,"1,403,890",NYS,$8B (Mid),1.25
PLYM,Plymouth Industrial REIT Inc,Real Estate,"1,177,970",NYS,$977M (Micro),1.25
MNDY,monday.com Ltd,Technology,"1,092,870",NASDAQ,$8B (Mid),1.25
AAL,American Airlines Group Inc,Industrials,"52,015,760",NASDAQ,$11B (Mid),1.26
DNN,Denison Mines Corp,Energy,"41,478,150",NYS,$3B (Small),1.26
HL,Hecla Mining Co,Materials,"20,944,280",NYS,$15B (Mid),1.26
EMR,Emerson Electric Co,Industrials,"2,409,700",NYS,$81B (Large),1.26
HRTX,Heron Therapeutics Inc,Healthcare,"2,143,410",NASDAQ,$255M (Micro),1.26
CMPX,Compass Therapeutics Inc,Healthcare,"1,980,870",NASDAQ,$952M (Micro),1.26
HWM,Howmet Aerospace Inc,Industrials,"1,954,510",NYS,$88B (Large),1.26
ASO,Academy Sports and Outdoors Inc,Consumer Discretionary,"1,733,600",NASDAQ,$4B (Small),1.26
NRG,NRG Energy Inc,Utilities,"1,671,740",NYS,$29B (Mid),1.26
PLNT,Planet Fitness Inc,Consumer Discretionary,"1,578,290",NYS,$9B (Mid),1.26
SHW,Sherwin-Williams Co,Materials,"1,479,860",NYS,$88B (Large),1.26
HLX,Helix Energy Solutions Group Inc,Energy,"1,360,230",NYS,$1B (Micro),1.26
PMT,PennyMac Mortgage Investment Trust,Financials,"1,174,650",NYS,$1B (Micro),1.26
META,Meta Platforms Inc,Communication Services,"10,618,570",NASDAQ,$2T (Large),1.27
CRM,Salesforce Inc,Technology,"5,201,560",NYS,$244B (Large),1.27
CSIQ,Canadian Solar Inc,Technology,"4,910,120",NASDAQ,$1B (Micro),1.27
DDOG,Datadog Inc,Technology,"3,499,640",NASDAQ,$44B (Large),1.27
PSTG,Pure Storage Inc,Technology,"3,073,160",NYS,$22B (Mid),1.27
GTES,Gates Industrial Corporation PLC,Industrials,"1,644,800",NYS,$6B (Small),1.27
PRKS,United Parks & Resorts Inc,Consumer Discretionary,"1,171,570",NYS,$2B (Micro),1.27
NKE,Nike Inc,Consumer Discretionary,"21,339,910",NYS,$98B (Large),1.28
ZETA,Zeta Global Holdings Corp,Technology,"10,515,040",NYS,$6B (Small),1.28
VTYX,Ventyx Biosciences Inc,Healthcare,"9,080,040",NASDAQ,$991M (Micro),1.28
NUAI,New Era Energy & Digital Inc,Utilities,"7,964,320",NASDAQ,$191M (Micro),1.28
BDN,Brandywine Realty Trust,Real Estate,"7,690,190",NYS,$525M (Micro),1.28
MAS,Masco Corp,Industrials,"1,998,880",NYS,$14B (Mid),1.28
ESI,Element Solutions Inc,Materials,"1,787,110",NYS,$7B (Small),1.28
DAR,Darling Ingredients Inc,Consumer Staples,"1,780,730",NYS,$6B (Small),1.28
ODFL,Old Dominion Freight Line Inc,Industrials,"1,656,910",NASDAQ,$36B (Mid),1.28
EXR,Extra Space Storage Inc,Real Estate,"1,182,430",NYS,$30B (Mid),1.28
BAC,Bank of America Corp,Financials,"27,481,030",NYS,$408B (Large),1.29
CSX,CSX Corp,Industrials,"12,279,930",NASDAQ,$66B (Large),1.29
SGMO,Sangamo Therapeutics Inc,Healthcare,"4,326,310",NASDAQ,$149M (Micro),1.29
AXTA,Axalta Coating Systems Ltd,Materials,"2,831,480",NYS,$7B (Small),1.29
CBRL,Cracker Barrel Old Country Store Inc,Consumer Discretionary,"1,693,480",NASDAQ,$670M (Micro),1.29
TBLA,Taboola.com Ltd,Communication Services,"1,420,980",NASDAQ,$1B (Micro),1.29
FLYW,Flywire Corp,Technology,"1,136,130",NASDAQ,$2B (Micro),1.29
MBOT,Microbot Medical Inc,Healthcare,"1,071,630",NASDAQ,$140M (Micro),1.29
NLY,Annaly Capital Management Inc,Financials,"9,881,960",NYS,$16B (Mid),1.3
UAL,United Airlines Holdings Inc,Industrials,"3,326,300",NASDAQ,$38B (Mid),1.3
VNRX,VolitionRX Ltd,Healthcare,"2,858,470",NYS,$41M (Micro),1.3
FIGS,Figs Inc,Consumer Discretionary,"2,265,920",NYS,$2B (Micro),1.3
DYN,Dyne Therapeutics Inc,Healthcare,"2,019,090",NASDAQ,$3B (Small),1.3
LAB,Standard BioTools Inc,Healthcare,"1,914,090",NASDAQ,$592M (Micro),1.3
A,Agilent Technologies Inc,Healthcare,"1,884,040",NYS,$42B (Large),1.3
LNC,Lincoln National Corp,Financials,"1,451,540",NYS,$8B (Mid),1.3
VFF,Village Farms International Inc,Consumer Staples,"1,150,750",NASDAQ,$396M (Micro),1.3
CNH,CNH Industrial NV,Industrials,"10,592,010",NYS,$13B (Mid),1.31
BILL,BILL Holdings Inc,Technology,"1,995,380",NYS,$5B (Small),1.31
AVDL,Avadel Pharmaceuticals PLC,Healthcare,"1,166,890",NASDAQ,$2B (Micro),1.31
NNOX,Nano-X Imaging Ltd,Healthcare,"1,166,170",NASDAQ,$206M (Micro),1.31
SGI,Somnigroup International Inc,Healthcare,"1,112,050",NYS,$20B (Mid),1.31
SUIG,SUI Group Holdings Ltd,Financials,"1,102,780",NASDAQ,$157M (Micro),1.31
FVRR,Fiverr International Ltd,Technology,"1,026,520",NYS,$670M (Micro),1.31
TSM,Taiwan Semiconductor Manufacturing Co Ltd,Technology,"11,219,030",NYS,$2T (Large),1.32
MRNA,Moderna Inc,Healthcare,"9,780,230",NASDAQ,$13B (Mid),1.32
CARR,Carrier Global Corp,Industrials,"5,166,600",NYS,$47B (Large),1.32
SWKS,Skyworks Solutions Inc,Technology,"3,483,480",NASDAQ,$9B (Mid),1.32
ARE,Alexandria Real Estate Equities Inc,Real Estate,"2,356,020",NYS,$9B (Mid),1.32
DNUT,Krispy Kreme Inc,Consumer Staples,"2,247,740",NASDAQ,$733M (Micro),1.32
TWLO,Twilio Inc,Technology,"1,955,280",NYS,$20B (Mid),1.32
IR,Ingersoll Rand Inc,Industrials,"1,845,760",NYS,$34B (Mid),1.32
FCEL,Fuelcell Energy Inc,Industrials,"1,659,590",NASDAQ,$362M (Micro),1.32
NVT,nVent Electric PLC,Industrials,"1,532,690",NYS,$17B (Mid),1.32
TGEN,Tecogen Inc,Industrials,"1,044,950",NYS,$142M (Micro),1.32
PCVX,Vaxcyte Inc,Healthcare,"1,015,810",NASDAQ,$6B (Small),1.32
MTCH,Match Group Inc,Communication Services,"3,119,950",NASDAQ,$8B (Mid),1.33
ENTG,Entegris Inc,Technology,"2,450,090",NASDAQ,$16B (Mid),1.33
GS,Goldman Sachs Group Inc,Financials,"2,013,260",NYS,$282B (Large),1.33
LEVI,Levi Strauss & Co,Consumer Discretionary,"1,666,090",NYS,$9B (Mid),1.33
FIVN,Five9 Inc,Technology,"1,557,640",NASDAQ,$2B (Micro),1.33
HPE,Hewlett Packard Enterprise Co,Technology,"17,092,530",NYS,$30B (Mid),1.34
ORIC,Oric Pharmaceuticals Inc,Healthcare,"1,273,850",NASDAQ,$891M (Micro),1.34
BWIN,Baldwin Insurance Group Inc,Financials,"1,107,290",NASDAQ,$4B (Small),1.34
CRDF,Cardiff Oncology Inc,Healthcare,"1,050,930",NASDAQ,$207M (Micro),1.34
CBRE,CBRE Group Inc,Real Estate,"1,030,520",NYS,$49B (Large),1.34
BMNR,Bitmine Immersion Technologies Inc,Technology,"39,773,880",NYS,$13B (Mid),1.35
RCAT,Red Cat Holdings Inc,Industrials,"11,583,700",NASDAQ,$1B (Micro),1.35
ABR,Arbor Realty Trust Inc,Financials,"3,750,990",NYS,$2B (Micro),1.35
MVIS,MicroVision Inc,Technology,"3,669,400",NASDAQ,$281M (Micro),1.35
SEE,Sealed Air Corp,Materials,"2,766,210",NYS,$6B (Small),1.35
AIV,Apartment Investment and Management Co,Real Estate,"2,075,510",NYS,$854M (Micro),1.35
PHM,Pultegroup Inc,Consumer Discretionary,"1,701,640",NYS,$26B (Mid),1.35
FDX,FedEx Corp,Industrials,"1,650,460",NYS,$73B (Large),1.35
AOS,A O Smith Corp,Industrials,"1,129,180",NYS,$10B (Mid),1.35
OC,Owens Corning,Industrials,"1,021,050",NYS,$10B (Mid),1.35
AGNC,AGNC Investment Corp,Financials,"20,015,550",NASDAQ,$12B (Mid),1.36
INVZ,Innoviz Technologies Ltd,Technology,"7,666,840",NASDAQ,$253M (Micro),1.36
GM,General Motors Co,Consumer Discretionary,"7,195,450",NYS,$77B (Large),1.36
IAG,IAMGOLD Corp,Materials,"6,184,450",NYS,$10B (Mid),1.36
KMX,Carmax Inc,Consumer Discretionary,"3,529,120",NYS,$6B (Small),1.36
AMRX,Amneal Pharmaceuticals Inc,Healthcare,"1,365,630",NASDAQ,$4B (Small),1.36
DAL,Delta Air Lines Inc,Industrials,"5,664,530",NYS,$47B (Large),1.37
CRMD,CorMedix Inc,Healthcare,"5,302,870",NASDAQ,$601M (Micro),1.37
ENPH,Enphase Energy Inc,Technology,"5,071,670",NASDAQ,$5B (Small),1.37
ACH,Accendra Health Inc,Healthcare,"2,112,230",NYS,$190M (Micro),1.37
ATOS,Atossa Therapeutics Inc,Healthcare,"1,496,070",NASDAQ,$83M (Micro),1.37
ESRT,Empire State Realty Trust Inc,Real Estate,"1,209,240",NYS,$1B (Micro),1.37
IQV,IQVIA Holdings Inc,Healthcare,"1,090,970",NYS,$41B (Mid),1.37
QRVO,Qorvo Inc,Technology,"1,048,800",NASDAQ,$8B (Small),1.37
ITT,ITT Inc,Industrials,"1,000,170",NYS,$16B (Mid),1.37
AMZN,Amazon.com Inc,Consumer Discretionary,"35,334,740",NASDAQ,$3T (Large),1.38
LUNR,Intuitive Machines Inc,Industrials,"12,565,850",NASDAQ,$3B (Small),1.38
EBAY,eBay Inc,Consumer Discretionary,"3,830,860",NASDAQ,$41B (Mid),1.38
COUR,Coursera Inc,Consumer Discretionary,"2,889,520",NYS,$1B (Micro),1.38
FLR,Fluor Corp,Industrials,"2,710,390",NYS,$7B (Small),1.38
NTAP,NetApp Inc,Technology,"1,701,650",NASDAQ,$21B (Mid),1.38
INTC,Intel Corp,Technology,"87,972,030",NASDAQ,$217B (Large),1.39
PAGS,PagSeguro Digital Ltd,Financials,"3,187,670",NYS,$3B (Small),1.39
DOCS,Doximity Inc,Healthcare,"2,553,300",NYS,$8B (Mid),1.39
DENN,Denny's Corp,Consumer Discretionary,"1,614,170",NASDAQ,$321M (Micro),1.39
MDB,MongoDB Inc,Technology,"1,391,300",NASDAQ,$33B (Mid),1.39
EYE,National Vision Holdings Inc,Consumer Discretionary,"1,078,050",NASDAQ,$2B (Micro),1.39
SATL,Satellogic Inc,Technology,"6,158,650",NASDAQ,$408M (Micro),1.4
AEO,American Eagle Outfitters Inc,Consumer Discretionary,"5,464,140",NYS,$5B (Small),1.4
PENN,PENN Entertainment Inc,Consumer Discretionary,"3,322,420",NASDAQ,$2B (Micro),1.4
HOG,Harley-Davidson Inc,Consumer Discretionary,"2,523,210",NYS,$3B (Small),1.4
EB,Eventbrite Inc,Communication Services,"2,308,690",NYS,$438M (Micro),1.4
PBI,Pitney Bowes Inc,Industrials,"2,023,240",NYS,$2B (Micro),1.4
PLRX,Pliant Therapeutics Inc,Healthcare,"1,041,870",NASDAQ,$81M (Micro),1.4
GE,GE Aerospace,Industrials,"3,859,600",NYS,$339B (Large),1.41
FBIN,Fortune Brands Innovations Inc,Industrials,"1,524,670",NYS,$7B (Small),1.41
ANET,Arista Networks Inc,Technology,"6,429,850",NYS,$155B (Large),1.42
VST,Vistra Corp,Utilities,"5,465,640",NYS,$56B (Large),1.42
EXAS,Exact Sciences Corp,Healthcare,"2,156,930",NASDAQ,$19B (Mid),1.42
SYF,Synchrony Financial,Financials,"2,115,240",NYS,$31B (Mid),1.42
